文章标识符aid,标题title,链接url,时间time
"2247515509_1","通报 | 广东电力现货市场2025年8月运行日报（08.11）","http://mp.weixin.qq.com/s?__biz=MzI3NDY4NzE2Ng==&mid=2247515509&idx=1&sn=dc5db8992b390b33d8b381ba4edc4a6a&chksm=eb12c8a4dc6541b2968307ed7ab2e9b0863862d50b35b91334ed697fa4cf34d0d173db6444e5#rd","2025-08-11"
"2247515503_1","通报 | 广东电力现货市场2025年8月运行日报（08.10）","http://mp.weixin.qq.com/s?__biz=MzI3NDY4NzE2Ng==&mid=2247515503&idx=1&sn=91d519cb826d9e03568e7721f8938945&chksm=eb12c8bedc6541a8b05b0cc190fc42a899d312d035f446c47bdea24bdb6a383d94e79b37fb45#rd","2025-08-10"
"2247515497_1","通报 | 广东电力现货市场2025年8月运行日报（08.09）","http://mp.weixin.qq.com/s?__biz=MzI3NDY4NzE2Ng==&mid=2247515497&idx=1&sn=9781aaa3433549614eff09b9a8d7ffa7&chksm=eb12c8b8dc6541aea9c7ddf8811f2c8acaf0e081418515f6ad2794b926f82634b1331b458bfb#rd","2025-08-09"
"2247515486_1","通报 | 广东电力现货市场2025年8月运行日报（08.08）","http://mp.weixin.qq.com/s?__biz=MzI3NDY4NzE2Ng==&mid=2247515486&idx=1&sn=3bd868f2deb435d7fac42fe5e48a786e&chksm=eb12c88fdc654199f7b106cc0171625f7141a7e954c11515b9a740e5712a523f2bdbdbb58256#rd","2025-08-08"
"2247515480_1","通报 | 广东电力现货市场2025年8月运行日报（08.07）","http://mp.weixin.qq.com/s?__biz=MzI3NDY4NzE2Ng==&mid=2247515480&idx=1&sn=84e5becd201ac7565485b5742ccb8eaf&chksm=eb12c889dc65419fe6e4970019a47edd1dbc49f82b77cfaef9494f920502ccca537c02a3afa2#rd","2025-08-07"
"2247515474_1","通报 | 广东电力现货市场2025年8月运行日报（08.06）","http://mp.weixin.qq.com/s?__biz=MzI3NDY4NzE2Ng==&mid=2247515474&idx=1&sn=05c6f7c1cad33928561fcdd80ed8000b&chksm=eb12c883dc654195a58eec6df9155b16ca34f373504c86cde3a595f879016be4390b4cc3a931#rd","2025-08-06"
"2247515468_1","通报 | 广东电力现货市场2025年8月运行日报（08.05）","http://mp.weixin.qq.com/s?__biz=MzI3NDY4NzE2Ng==&mid=2247515468&idx=1&sn=7217da025c46a7d44030454d3e3e5607&chksm=eb12c89ddc65418b195cfc222abd3da9292ba65230f09ebd3c2f9b948d9caa62adc64d5ad76e#rd","2025-08-05"
"2247515462_1","通报 | 广东电力现货市场2025年8月运行日报（08.04）","http://mp.weixin.qq.com/s?__biz=MzI3NDY4NzE2Ng==&mid=2247515462&idx=1&sn=003f0f234c94ca8c1953d0dcd5beeb80&chksm=eb12c897dc654181850b6db675b1bfcfa24c63a59a1f1a83e11d1e5d398859de01d073a5f128#rd","2025-08-04"
"2247515456_1","通报 | 广东电力现货市场2025年8月运行日报（08.03）","http://mp.weixin.qq.com/s?__biz=MzI3NDY4NzE2Ng==&mid=2247515456&idx=1&sn=ce4d582f456959edfb6659948f20ad65&chksm=eb12c891dc65418769c08f3f92bca3c7996d4a7db12da0798b0a97eb21847da04f38fed57921#rd","2025-08-03"
"2247515445_1","通报 | 广东电力现货市场2025年8月运行日报（08.02）","http://mp.weixin.qq.com/s?__biz=MzI3NDY4NzE2Ng==&mid=2247515445&idx=1&sn=8481b825ad65045640d446c1eec0ccad&chksm=eb12c8e4dc6541f2c21b177fd7c54e0fac05a7d55b0d868625c3d94fcaed424301bd906c3f25#rd","2025-08-02"
"2247515439_1","通报 | 广东电力现货市场2025年8月运行日报（08.01）","http://mp.weixin.qq.com/s?__biz=MzI3NDY4NzE2Ng==&mid=2247515439&idx=1&sn=8f709f0c4a80a86c3564b2274d096ceb&chksm=eb12c8fedc6541e880eee86efc33174efe9c5ee443ba91af62da2cdc353f95846f884b10c80c#rd","2025-08-01"
"2247515429_1","通知 | 关于对广东通达售电有限公司给予不良行为处置的决定书","http://mp.weixin.qq.com/s?__biz=MzI3NDY4NzE2Ng==&mid=2247515429&idx=1&sn=7b00159026ed84b63d58f64d77cea1bd&chksm=eb12c8f4dc6541e2c4a342abd37dae064ed8c357d95ff47b1b8ba581dd365e77a00d749c7913#rd","2025-07-31"
